,job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote_ratio_numeric,difference_application_post_dates
20,AI00021,Data Engineer,134197,USD,Mid-Level,Full-Time,Norway,Medium,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations,On-site,68
21,AI00022,Autonomous Systems Engineer,102550,USD,Mid-Level,Part-Time,United States,Medium,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing,On-site,61
22,AI00023,ML Ops Engineer,99382,EUR,Senior-Level ,Contract,Germany,Small,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc,On-site,59
23,AI00024,AI Product Manager,52167,USD,Mid-Level,Full-Time,Austria,Medium,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions,Remote,17
24,AI00025,ML Ops Engineer,53923,USD,Mid-Level,Full-Time,China,Small,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations,On-site,22
25,AI00026,Robotics Engineer,109779,USD,Senior-Level ,Part-Time,Israel,Large,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd,Remote,62
26,AI00027,ML Ops Engineer,80979,USD,Mid-Level,Contract,Australia,Small,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc,Hybrid,61
27,AI00028,Data Analyst,52997,USD,Mid-Level,Part-Time,Austria,Medium,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems,On-site,41
28,AI00029,Head of AI,42819,USD,Entry-Level,Contract,Ireland,Medium,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing,Hybrid,43
29,AI00030,ML Ops Engineer,82083,USD,Mid-Level,Contract,Israel,Large,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.3,Future Systems,Remote,38
30,AI00031,Head of AI,67488,EUR,Entry-Level,Full-Time,Netherlands,Medium,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics,Remote,71
31,AI00032,Research Scientist,68624,USD,Entry-Level,Full-Time,Denmark,Medium,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,1910,9.2,Cloud AI Solutions,On-site,37
32,AI00033,Robotics Engineer,146852,USD,Senior-Level ,Full-Time,Switzerland,Small,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,684,5.3,Cognitive Computing,Hybrid,23
33,AI00034,ML Ops Engineer,178183,USD,Executive-level,Freelance,Finland,Medium,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,1850,5.7,Predictive Systems,On-site,18
34,AI00035,Deep Learning Engineer,150864,USD,Senior-Level ,Freelance,Sweden,Large,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024-12-25,1504,7.9,Smart Analytics,On-site,60
35,AI00036,Head of AI,126942,USD,Executive-level,Contract,Finland,Large,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech,On-site,26
36,AI00037,AI Architect,53752,USD,Mid-Level,Part-Time,Japan,Medium,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,998,6.1,TechCorp Inc,Remote,26
37,AI00038,Robotics Engineer,111381,USD,Executive-level,Contract,Israel,Small,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech,On-site,58
38,AI00039,AI Specialist,41430,USD,Entry-Level,Part-Time,China,Medium,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,8.0,Future Systems,Hybrid,44
39,AI00040,Data Engineer,166080,EUR,Executive-level,Freelance,Netherlands,Large,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,831,5.1,DeepTech Ventures,Remote,61
40,AI00041,Data Scientist,96956,USD,Mid-Level,Full-Time,United States,Medium,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,5.3,DataVision Ltd,On-site,14
41,AI00042,AI Architect,196954,USD,Senior-Level ,Freelance,United States,Large,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd,Hybrid,30
42,AI00043,AI Specialist,56745,USD,Entry-Level,Part-Time,Finland,Large,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc,Remote,69
43,AI00044,Machine Learning Researcher,113455,USD,Senior-Level ,Full-Time,Singapore,Medium,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8.0,AI Innovations,Hybrid,49
44,AI00045,ML Ops Engineer,158808,EUR,Senior-Level ,Part-Time,Netherlands,Medium,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7.4,Future Systems,Hybrid,61
45,AI00046,AI Research Scientist,174663,USD,Senior-Level ,Contract,United States,Medium,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures,Hybrid,72
46,AI00047,AI Research Scientist,46753,USD,Entry-Level,Contract,India,Small,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc,Hybrid,32
47,AI00048,AI Software Engineer,69020,USD,Mid-Level,Freelance,China,Large,China,0,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc,On-site,50
48,AI00049,AI Specialist,288815,USD,Executive-level,Part-Time,Switzerland,Small,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing,On-site,46
49,AI00050,AI Consultant,124871,USD,Executive-level,Freelance,Austria,Medium,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech,Hybrid,68
50,AI00051,AI Architect,70391,EUR,Mid-Level,Full-Time,Germany,Small,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc,On-site,64
51,AI00052,Research Scientist,115376,USD,Executive-level,Full-Time,India,Medium,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech,Remote,33
52,AI00053,Research Scientist,106579,USD,Mid-Level,Part-Time,United States,Small,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing,Remote,68
53,AI00054,Data Scientist,135230,USD,Senior-Level ,Part-Time,Norway,Small,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd,Remote,64
54,AI00055,Research Scientist,67607,USD,Mid-Level,Part-Time,Israel,Small,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc,Hybrid,21
55,AI00056,AI Architect,88470,USD,Mid-Level,Part-Time,Canada,Large,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech,On-site,60
56,AI00057,Autonomous Systems Engineer,79863,USD,Mid-Level,Freelance,India,Large,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech,Remote,28
57,AI00058,Machine Learning Engineer,60299,USD,Entry-Level,Part-Time,Israel,Large,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics,Remote,40
58,AI00059,Machine Learning Engineer,85645,EUR,Mid-Level,Full-Time,Germany,Medium,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7.9,AI Innovations,On-site,26
59,AI00060,AI Software Engineer,110222,GBP,Senior-Level ,Freelance,United Kingdom,Small,France,0,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc,On-site,46
60,AI00061,Data Scientist,49365,USD,Entry-Level,Full-Time,China,Medium,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems,On-site,53
61,AI00062,Data Scientist,162296,USD,Senior-Level ,Part-Time,Norway,Small,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co,Hybrid,26
62,AI00063,AI Consultant,102382,USD,Mid-Level,Part-Time,Switzerland,Medium,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics,On-site,72
63,AI00064,AI Software Engineer,99972,USD,Mid-Level,Part-Time,Australia,Medium,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions,Hybrid,24
64,AI00065,Data Engineer,64129,USD,Entry-Level,Contract,South Korea,Large,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group,On-site,58
65,AI00066,AI Specialist,87938,USD,Senior-Level ,Full-Time,Ireland,Small,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group,Remote,59
66,AI00067,Autonomous Systems Engineer,71405,USD,Mid-Level,Freelance,Israel,Large,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics,On-site,58
67,AI00068,Machine Learning Engineer,316182,USD,Executive-level,Part-Time,Denmark,Medium,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,2452,7.0,Digital Transformation LLC,On-site,14
68,AI00069,Machine Learning Researcher,72459,EUR,Entry-Level,Part-Time,Germany,Medium,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc,Remote,16
69,AI00070,Principal Data Scientist,78338,EUR,Mid-Level,Full-Time,France,Large,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing,Remote,45
70,AI00071,NLP Engineer,51907,USD,Mid-Level,Freelance,Israel,Medium,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co,Remote,48
71,AI00072,Autonomous Systems Engineer,122831,EUR,Senior-Level ,Freelance,France,Small,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions,Remote,19
72,AI00073,Machine Learning Researcher,124820,USD,Mid-Level,Freelance,Norway,Small,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing,Hybrid,60
73,AI00074,Autonomous Systems Engineer,134200,GBP,Senior-Level ,Part-Time,United Kingdom,Small,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group,Hybrid,41
74,AI00075,Data Engineer,51920,USD,Entry-Level,Part-Time,Sweden,Small,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC,Remote,35
75,AI00076,Data Engineer,56427,USD,Entry-Level,Freelance,Singapore,Medium,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures,Remote,70
76,AI00077,AI Product Manager,213783,USD,Executive-level,Full-Time,Canada,Small,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc,Remote,17
77,AI00078,ML Ops Engineer,59728,USD,Mid-Level,Freelance,Israel,Medium,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd,Hybrid,64
78,AI00079,Computer Vision Engineer,119432,USD,Senior-Level ,Contract,India,Large,India,0,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech,On-site,49
79,AI00080,AI Research Scientist,284486,USD,Executive-level,Contract,United States,Medium,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,2231,7.0,TechCorp Inc,On-site,25
80,AI00081,Data Analyst,157597,EUR,Executive-level,Contract,France,Large,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co,Hybrid,15
81,AI00082,ML Ops Engineer,196942,USD,Executive-level,Contract,Australia,Large,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7.5,TechCorp Inc,Remote,15
82,AI00083,Machine Learning Researcher,207548,USD,Executive-level,Contract,Canada,Medium,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing,On-site,35
83,AI00084,NLP Engineer,68838,USD,Mid-Level,Freelance,Sweden,Small,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7.4,TechCorp Inc,Hybrid,53
84,AI00085,ML Ops Engineer,125666,USD,Executive-level,Freelance,Finland,Large,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8.4,TechCorp Inc,Remote,64
85,AI00086,NLP Engineer,73174,USD,Entry-Level,Full-Time,Denmark,Medium,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group,Hybrid,56
86,AI00087,Autonomous Systems Engineer,33314,USD,Entry-Level,Contract,Israel,Small,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems,Hybrid,60
87,AI00088,AI Specialist,69914,USD,Entry-Level,Full-Time,United States,Small,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics,Remote,59
88,AI00089,Principal Data Scientist,152118,EUR,Executive-level,Freelance,France,Medium,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6.9,AI Innovations,Hybrid,55
89,AI00090,AI Software Engineer,78014,EUR,Entry-Level,Contract,France,Large,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC,Hybrid,18
90,AI00091,Research Scientist,48466,USD,Entry-Level,Part-Time,Canada,Small,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems,Remote,65
91,AI00092,Data Analyst,97997,EUR,Senior-Level ,Contract,France,Small,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions,Hybrid,27
92,AI00093,Principal Data Scientist,128341,USD,Senior-Level ,Freelance,Singapore,Small,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co,On-site,50
93,AI00094,AI Research Scientist,111528,USD,Mid-Level,Freelance,United States,Large,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems,On-site,68
94,AI00095,Machine Learning Researcher,138945,USD,Executive-level,Part-Time,Canada,Small,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures,Hybrid,67
95,AI00096,NLP Engineer,98688,USD,Senior-Level ,Full-Time,Israel,Medium,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing,Hybrid,23
96,AI00097,Data Analyst,109029,EUR,Senior-Level ,Full-Time,France,Small,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems,On-site,69
97,AI00098,NLP Engineer,84797,USD,Mid-Level,Full-Time,Canada,Medium,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group,On-site,30
98,AI00099,Machine Learning Researcher,290199,USD,Executive-level,Contract,Switzerland,Large,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,1137,5.6,Smart Analytics,Hybrid,54
99,AI00100,AI Research Scientist,195691,USD,Senior-Level ,Contract,United States,Large,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics,On-site,63
100,AI00101,AI Product Manager,193448,USD,Senior-Level ,Full-Time,Norway,Large,Norway,100,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing,Remote,68
101,AI00102,AI Product Manager,138466,USD,Executive-level,Part-Time,Israel,Large,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics,Remote,70
102,AI00103,Data Analyst,91577,EUR,Mid-Level,Contract,Netherlands,Medium,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions,Remote,32
103,AI00104,Computer Vision Engineer,92875,USD,Mid-Level,Full-Time,Sweden,Small,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,701,5.3,Digital Transformation LLC,On-site,68
104,AI00105,Data Engineer,213287,GBP,Executive-level,Full-Time,United Kingdom,Small,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,1102,6.3,Cloud AI Solutions,Remote,31
105,AI00106,NLP Engineer,62171,USD,Mid-Level,Full-Time,Japan,Small,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,2162,8.1,AI Innovations,On-site,53
106,AI00107,AI Research Scientist,152658,USD,Executive-level,Freelance,South Korea,Large,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,548,9.0,TechCorp Inc,Hybrid,49
107,AI00108,ML Ops Engineer,95085,USD,Mid-Level,Full-Time,Norway,Medium,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,2298,6.5,Predictive Systems,Remote,31
108,AI00109,Deep Learning Engineer,86750,EUR,Mid-Level,Freelance,France,Small,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,1397,7.1,AI Innovations,Remote,73
109,AI00110,AI Specialist,64261,USD,Mid-Level,Part-Time,Israel,Medium,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,2385,8.8,TechCorp Inc,On-site,36
110,AI00111,Machine Learning Researcher,205357,USD,Executive-level,Part-Time,United States,Small,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024-05-13,1646,6.6,Predictive Systems,Remote,66
111,AI00112,AI Architect,165676,EUR,Executive-level,Contract,France,Small,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,926,7.8,Neural Networks Co,Hybrid,43
112,AI00113,Computer Vision Engineer,114658,EUR,Senior-Level ,Contract,France,Medium,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions,Remote,33
113,AI00114,Data Scientist,143149,EUR,Senior-Level ,Freelance,France,Large,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,1169,9.1,Digital Transformation LLC,Hybrid,58
114,AI00115,Machine Learning Researcher,116276,EUR,Senior-Level ,Freelance,Germany,Small,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,608,7.9,Future Systems,Hybrid,23
115,AI00116,NLP Engineer,61055,USD,Entry-Level,Freelance,United States,Medium,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,1891,6.9,Autonomous Tech,Remote,42
116,AI00117,ML Ops Engineer,50303,USD,Entry-Level,Full-Time,Austria,Large,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,2015,7.0,DataVision Ltd,Remote,52
117,AI00118,Data Analyst,65570,USD,Senior-Level ,Freelance,Ireland,Small,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,635,9.9,Smart Analytics,Hybrid,15
118,AI00119,AI Software Engineer,231078,USD,Executive-level,Freelance,Singapore,Medium,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,784,7.6,Neural Networks Co,Hybrid,49
119,AI00120,AI Product Manager,106633,USD,Senior-Level ,Full-Time,Australia,Medium,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,1243,5.5,Algorithmic Solutions,Remote,38
